Title,Citations,DOI,Source
A state-of the-art survey of TOPSIS applications,1553,10.1016/j.eswa.2012.05.056,Expert Systems with Applications
A simple and fast algorithm for K-medoids clustering,1388,10.1016/j.eswa.2008.01.039,Expert Systems with Applications
Marine Predators Algorithm: A nature-inspired metaheuristic,1518,10.1016/j.eswa.2020.113377,Expert Systems with Applications
Learning from class-imbalanced data: Review of methods and applications,1406,10.1016/j.eswa.2016.12.035,Expert Systems with Applications
Multi-objective grey wolf optimizer: A novel algorithm for multi-criterion optimization,1143,10.1016/j.eswa.2015.10.039,Expert Systems with Applications
A GA-based feature selection and parameters optimization for support vector machines,1050,10.1016/j.eswa.2005.09.024,Expert Systems with Applications
A multi-criteria intuitionistic fuzzy group decision making for supplier selection with TOPSIS method,1068,10.1016/j.eswa.2009.03.039,Expert Systems with Applications
Feature reduction and selection for EMG signal classification,1006,10.1016/j.eswa.2012.01.102,Expert Systems with Applications
Evaluating intertwined effects in e-learning programs: A novel hybrid MCDM model based on factor analysis and DEMATEL,855,10.1016/j.eswa.2006.02.004,Expert Systems with Applications
Review of the main developments in the analytic hierarchy process,828,10.1016/j.eswa.2011.04.143,Expert Systems with Applications
Reptile Search Algorithm (RSA): A nature-inspired meta-heuristic optimizer,890,10.1016/j.eswa.2021.116158,Expert Systems with Applications
"EEG signal classification using PCA, ICA, LDA and support vector machines",814,10.1016/j.eswa.2010.06.065,Expert Systems with Applications
EEG signal classification using wavelet feature extraction and a mixture of expert model,814,10.1016/j.eswa.2006.02.005,Expert Systems with Applications
A comparative study of efficient initialization methods for the k-means clustering algorithm,758,10.1016/j.eswa.2012.07.021,Expert Systems with Applications
Developing global managers' competencies using the fuzzy DEMATEL method,805,10.1016/j.eswa.2005.12.005,Expert Systems with Applications
A comparison of random forest variable selection methods for classification prediction modeling,779,10.1016/j.eswa.2019.05.028,Expert Systems with Applications
Educational data mining: A survey from 1995 to 2005,735,10.1016/j.eswa.2006.04.005,Expert Systems with Applications
Human activity recognition with smartphone sensors using deep learning neural networks,749,10.1016/j.eswa.2016.04.032,Expert Systems with Applications
Chimp optimization algorithm,758,10.1016/j.eswa.2020.113338,Expert Systems with Applications
"Hunger games search: Visions, conception, implementation, deep analysis, perspectives, and towards performance shifts",771,10.1016/j.eswa.2021.114864,Expert Systems with Applications
Particle swarm optimization for parameter determination and feature selection of support vector machines,664,10.1016/j.eswa.2007.08.088,Expert Systems with Applications
RUN beyond the metaphor: An efficient optimization algorithm based on Runge Kutta method,736,10.1016/j.eswa.2021.115079,Expert Systems with Applications
Fuzzy multiple criteria decision-making techniques and applications - Two decades review from 1994 to 2014,696,10.1016/j.eswa.2015.01.003,Expert Systems with Applications
Application of data mining techniques in customer relationship management: A literature review and classification,606,10.1016/j.eswa.2008.02.021,Expert Systems with Applications
